origin,destination,departure_date,return_date,airline,cabin_class,adults,children,infants,stops,trip_type,currency,flight_duration_minutes,departure_hour,arrival_hour,price,price_usd
LHR,CCU,2027-01-27,2027-02-24,KL,FIRST,1,0,0,0,ROUND_TRIP,INR,318,1,6,9258.8,111.11
LAX,DFW,2027-06-27,,KL,ECONOMY,2,0,0,2,ONE_WAY,EUR,746,21,9,762.32,823.31
LHR,CGK,2027-03-28,,SQ,ECONOMY,3,2,0,0,ONE_WAY,USD,83,11,12,1243.04,1243.04
FCO,BKK,2027-06-04,2027-06-16,MH,ECONOMY,1,0,0,1,ROUND_TRIP,USD,144,22,0,1397.68,1397.68
MIA,AMS,2027-01-07,2027-02-03,AI,ECONOMY,1,0,0,2,ROUND_TRIP,INR,335,7,12,1257.4,15.09
LAX,LHR,2027-07-01,,SQ,ECONOMY,2,0,0,0,ONE_WAY,INR,157,20,22,2093.72,25.12
DPS,ORD,2027-02-17,2027-03-08,GA,ECONOMY,1,0,0,2,ROUND_TRIP,USD,498,16,0,381.24,381.24
AMS,DOH,2026-09-21,2026-09-28,WY,BUSINESS,1,1,0,1,ROUND_TRIP,SGD,510,7,15,12588.87,9315.76
MIA,MEL,2027-02-25,,LH,ECONOMY,1,0,0,0,ONE_WAY,USD,391,20,2,586.57,586.57
ORD,AMD,2027-04-08,,TG,ECONOMY,2,2,0,0,ONE_WAY,AED,198,22,1,3522.95,958.24
HYD,BLR,2027-08-05,,GF,FIRST,2,0,0,2,ONE_WAY,USD,371,17,23,15281.37,15281.37
DPS,AUH,2027-03-29,2027-04-08,KL,PREMIUM_ECONOMY,4,0,0,0,ROUND_TRIP,GBP,638,11,21,19392.88,24628.96
LAX,BLR,2026-08-24,2026-08-28,AF,ECONOMY,3,0,0,1,ROUND_TRIP,SGD,641,10,20,10858.68,8035.42
DXB,DPS,2027-06-15,2027-06-18,EY,ECONOMY,1,1,0,0,ROUND_TRIP,USD,514,8,16,4723.99,4723.99
ICN,FRA,2026-12-27,2026-12-31,EK,ECONOMY,1,1,0,0,ROUND_TRIP,USD,142,4,6,5045.72,5045.72
SFO,ICN,2026-09-05,,UK,PREMIUM_ECONOMY,2,0,0,2,ONE_WAY,INR,503,23,7,1984.94,23.82
FCO,CGK,2026-09-20,,SQ,FIRST,1,0,0,2,ONE_WAY,EUR,767,2,14,7097.57,7665.38
AUH,MAA,2027-06-19,2027-07-05,IX,ECONOMY,1,2,0,1,ROUND_TRIP,EUR,213,3,6,959.75,1036.53
SYD,MCT,2027-07-20,,KL,ECONOMY,1,0,0,1,ONE_WAY,USD,498,8,16,398.99,398.99
AUH,MNL,2027-05-28,,SG,ECONOMY,2,0,0,0,ONE_WAY,EUR,66,17,18,946.87,1022.62
SIN,BLR,2027-05-25,,GF,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,EUR,271,11,15,385.16,415.97
AMS,DPS,2027-07-16,2027-08-14,QR,BUSINESS,3,0,0,0,ROUND_TRIP,AUD,139,22,0,8683.83,5644.49
FCO,LAX,2027-05-12,2027-05-21,LH,ECONOMY,1,0,0,0,ROUND_TRIP,EUR,642,12,22,2931.34,3165.85
KUL,JFK,2027-06-26,2027-06-30,EK,ECONOMY,2,0,0,0,ROUND_TRIP,INR,543,21,6,3196.39,38.36
MNL,BKK,2027-07-21,2027-08-02,KL,ECONOMY,1,0,0,1,ROUND_TRIP,USD,594,1,10,1871.0,1871.0
MIA,BLR,2027-03-22,2027-03-30,AI,ECONOMY,2,0,0,1,ROUND_TRIP,INR,546,4,13,1561.14,18.73
SYD,LAX,2027-03-09,2027-04-03,SG,ECONOMY,1,0,0,1,ROUND_TRIP,EUR,559,20,5,1246.63,1346.36
MAD,PNQ,2026-10-07,,AF,ECONOMY,2,1,1,0,ONE_WAY,INR,320,7,12,3327.18,39.93
MIA,FCO,2027-02-08,,GA,ECONOMY,2,0,0,2,ONE_WAY,USD,541,11,20,854.42,854.42
AUH,FRA,2027-04-23,,UK,ECONOMY,2,0,0,1,ONE_WAY,GBP,625,14,0,797.31,1012.58
MEL,ZRH,2026-09-20,,SQ,ECONOMY,2,1,0,0,ONE_WAY,EUR,262,9,13,1423.81,1537.71
BKK,HYD,2027-06-07,,6E,ECONOMY,4,0,0,0,ONE_WAY,GBP,84,17,18,1455.62,1848.64
MEL,BAH,2026-09-26,,BA,PREMIUM_ECONOMY,1,1,0,2,ONE_WAY,SGD,601,16,2,2596.04,1921.07
KWI,HYD,2027-02-03,2027-02-27,QR,PREMIUM_ECONOMY,2,0,1,0,ROUND_TRIP,EUR,195,19,22,7913.08,8546.13
MAA,LAX,2026-09-24,,UK,ECONOMY,3,2,0,0,ONE_WAY,USD,98,18,19,3306.81,3306.81
AUH,ORD,2027-01-29,2027-02-27,GF,FIRST,2,2,0,0,ROUND_TRIP,USD,383,4,10,30519.17,30519.17
NRT,CCU,2026-11-20,,SQ,PREMIUM_ECONOMY,1,2,0,1,ONE_WAY,USD,673,7,18,2673.58,2673.58
AUH,MAA,2027-06-26,,GF,BUSINESS,3,1,0,0,ONE_WAY,INR,103,4,5,3359.86,40.32
DOH,KUL,2027-05-14,2027-05-24,6E,ECONOMY,1,0,0,1,ROUND_TRIP,USD,712,9,20,640.4,640.4
CGK,BAH,2026-11-04,2026-12-03,LH,PREMIUM_ECONOMY,2,1,0,1,ROUND_TRIP,EUR,641,6,16,8446.14,9121.83
BLR,MNL,2027-05-03,,LH,ECONOMY,3,0,0,0,ONE_WAY,INR,458,4,11,4001.77,48.02
SIN,CCU,2026-09-24,2026-10-08,QR,BUSINESS,1,0,0,0,ROUND_TRIP,SGD,156,7,9,7171.16,5306.66
JFK,AUH,2026-09-23,2026-09-26,IX,ECONOMY,3,1,0,1,ROUND_TRIP,EUR,688,8,19,3738.34,4037.41
AUH,MEL,2027-06-28,,GA,PREMIUM_ECONOMY,1,0,0,1,ONE_WAY,INR,253,14,18,1553.91,18.65
ICN,BOM,2027-07-20,,SQ,ECONOMY,1,0,0,1,ONE_WAY,USD,521,21,5,1474.76,1474.76
NRT,ORD,2027-02-28,,SG,FIRST,2,0,0,0,ONE_WAY,INR,566,11,20,7083.41,85.0
MAA,ORD,2027-07-09,2027-07-17,QR,PREMIUM_ECONOMY,2,0,0,1,ROUND_TRIP,INR,484,21,5,3230.99,38.77
CGK,KWI,2027-01-19,2027-02-07,IX,ECONOMY,1,0,0,0,ROUND_TRIP,EUR,288,12,16,681.95,736.51
BAH,FCO,2027-03-27,,LH,BUSINESS,1,1,0,1,ONE_WAY,GBP,208,12,15,5465.1,6940.68
KWI,HKG,2026-11-14,2026-12-04,MH,ECONOMY,3,1,0,1,ROUND_TRIP,EUR,265,9,13,2358.92,2547.63
MAD,ZRH,2027-03-24,,IB,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,GBP,406,8,14,680.41,864.12
BLR,CCU,2027-03-26,,TG,PREMIUM_ECONOMY,2,2,0,1,ONE_WAY,INR,534,1,9,1484.27,17.81
ORD,DFW,2026-10-23,,AF,BUSINESS,1,0,0,0,ONE_WAY,USD,659,16,2,4794.71,4794.71
MIA,ZRH,2026-12-25,2027-01-19,SQ,ECONOMY,1,0,1,0,ROUND_TRIP,USD,74,14,15,3705.31,3705.31
MNL,BAH,2027-01-24,,UK,ECONOMY,2,2,0,2,ONE_WAY,USD,416,21,3,2814.26,2814.26
MAA,MEL,2026-12-06,,UA,ECONOMY,2,1,0,0,ONE_WAY,USD,511,3,11,3263.53,3263.53
MNL,BOM,2027-04-16,,LH,ECONOMY,2,0,0,0,ONE_WAY,INR,81,16,17,1853.25,22.24
SFO,DPS,2027-05-23,,SG,ECONOMY,1,0,0,1,ONE_WAY,USD,328,20,1,706.34,706.34
SIN,NRT,2027-05-06,,6E,BUSINESS,1,2,0,2,ONE_WAY,USD,560,9,18,2260.17,2260.17
CCU,AMS,2027-06-07,2027-06-14,EY,PREMIUM_ECONOMY,1,0,0,0,ROUND_TRIP,USD,522,5,13,973.64,973.64
JFK,DPS,2027-03-15,,6E,BUSINESS,2,0,0,1,ONE_WAY,USD,163,19,21,834.39,834.39
BOM,HKG,2027-08-01,2027-08-05,SQ,ECONOMY,1,1,0,1,ROUND_TRIP,USD,172,5,7,1003.01,1003.01
JFK,AUH,2026-10-07,,BA,BUSINESS,1,0,0,1,ONE_WAY,AUD,690,10,21,2558.26,1662.87
KUL,PNQ,2026-11-03,,WY,ECONOMY,4,1,0,2,ONE_WAY,USD,451,10,17,1539.44,1539.44
DOH,HKG,2027-06-08,2027-06-22,AA,ECONOMY,1,0,0,0,ROUND_TRIP,EUR,275,1,5,529.67,572.04
MAD,HKG,2027-02-17,2027-03-16,WN,BUSINESS,2,1,0,2,ROUND_TRIP,EUR,293,12,16,12730.46,13748.9
SYD,BAH,2026-10-13,,LH,ECONOMY,2,0,1,1,ONE_WAY,EUR,304,4,9,1805.2,1949.62
MIA,ORD,2027-01-31,,BA,ECONOMY,2,0,0,0,ONE_WAY,USD,60,15,16,2211.79,2211.79
HKG,DXB,2027-05-01,,BA,BUSINESS,2,1,0,1,ONE_WAY,USD,621,17,3,15181.3,15181.3
MEL,FCO,2027-08-01,,LX,BUSINESS,4,0,0,1,ONE_WAY,GBP,615,20,6,16156.02,20518.15
DPS,MEL,2027-07-28,2027-08-07,QR,PREMIUM_ECONOMY,2,0,0,0,ROUND_TRIP,USD,542,1,10,9863.73,9863.73
PNQ,MCT,2026-09-14,,AI,ECONOMY,1,0,0,1,ONE_WAY,EUR,256,22,2,821.63,887.36
CGK,ICN,2027-07-09,,AF,ECONOMY,1,0,0,1,ONE_WAY,AED,396,22,4,662.44,180.18
CGK,BAH,2027-04-21,,QR,ECONOMY,4,1,0,1,ONE_WAY,SGD,620,10,20,5772.73,4271.82
AMS,FCO,2026-09-04,,UK,ECONOMY,1,0,0,0,ONE_WAY,AED,198,9,12,1204.05,327.5
CCU,ORD,2026-10-08,2026-10-30,IB,PREMIUM_ECONOMY,3,0,0,0,ROUND_TRIP,USD,121,23,1,5787.43,5787.43
NRT,LHR,2026-11-02,,SQ,ECONOMY,1,0,0,2,ONE_WAY,USD,808,13,2,784.37,784.37
CGK,MNL,2027-05-14,2027-06-09,SQ,ECONOMY,2,2,0,1,ROUND_TRIP,USD,519,23,7,8532.7,8532.7
KWI,SIN,2027-01-09,,EK,BUSINESS,2,0,0,2,ONE_WAY,INR,277,1,5,5327.15,63.93
FCO,DPS,2027-04-29,2027-05-16,WN,ECONOMY,4,0,0,2,ROUND_TRIP,USD,324,8,13,5453.77,5453.77
KUL,FRA,2027-03-09,2027-04-07,MH,ECONOMY,2,1,0,2,ROUND_TRIP,INR,359,13,18,1407.56,16.89
ZRH,CCU,2026-12-28,,AF,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,USD,121,10,12,2048.18,2048.18
FRA,DFW,2027-01-20,2027-02-14,MH,ECONOMY,1,0,1,2,ROUND_TRIP,EUR,712,3,14,1872.83,2022.66
MAD,DFW,2027-04-12,2027-05-09,WN,ECONOMY,1,2,0,1,ROUND_TRIP,EUR,576,17,2,872.85,942.68
CDG,CCU,2027-06-03,2027-06-23,AA,ECONOMY,2,0,0,1,ROUND_TRIP,USD,445,4,11,5343.85,5343.85
ZRH,ICN,2027-05-03,,IB,ECONOMY,1,0,0,1,ONE_WAY,EUR,284,13,17,734.45,793.21
FCO,BOM,2026-09-13,,AF,ECONOMY,1,0,0,1,ONE_WAY,USD,270,2,6,1194.82,1194.82
CGK,HYD,2027-02-25,2027-03-14,GF,ECONOMY,4,0,0,2,ROUND_TRIP,INR,267,12,16,1789.44,21.47
ICN,DXB,2026-08-25,,SQ,BUSINESS,1,0,1,1,ONE_WAY,AUD,576,9,18,2093.88,1361.02
ICN,SIN,2026-08-30,,UA,ECONOMY,1,0,0,1,ONE_WAY,EUR,258,21,1,1181.7,1276.24
BOM,FRA,2027-03-26,2027-04-05,EY,ECONOMY,2,1,0,0,ROUND_TRIP,EUR,155,17,19,4082.64,4409.25
BLR,AUH,2026-12-13,,AA,FIRST,2,0,0,1,ONE_WAY,AED,558,9,18,24756.65,6733.81
LHR,SIN,2026-09-07,2026-09-21,GF,ECONOMY,2,0,0,1,ROUND_TRIP,EUR,640,20,6,1425.55,1539.59
DFW,ICN,2027-08-11,,BA,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,USD,213,4,7,2949.98,2949.98
SFO,SIN,2027-05-15,,UA,ECONOMY,1,0,0,0,ONE_WAY,USD,432,23,6,808.46,808.46
BAH,BLR,2026-12-03,2026-12-21,WY,ECONOMY,1,1,0,1,ROUND_TRIP,USD,561,6,15,4118.17,4118.17
DEL,LHR,2026-12-14,,EY,FIRST,1,0,0,0,ONE_WAY,AUD,165,17,19,7109.66,4621.28
MAD,MIA,2027-04-11,,IB,ECONOMY,2,0,0,2,ONE_WAY,USD,840,10,0,1323.88,1323.88
HYD,DPS,2026-12-09,,QR,PREMIUM_ECONOMY,2,1,0,0,ONE_WAY,EUR,314,12,17,8079.5,8725.86
CDG,HKG,2026-11-08,2026-12-04,UA,PREMIUM_ECONOMY,3,2,0,1,ROUND_TRIP,USD,437,11,18,15531.36,15531.36
KWI,SYD,2026-10-23,,SQ,FIRST,1,1,0,0,ONE_WAY,INR,95,20,21,13339.3,160.07
MAA,DOH,2026-08-22,,AI,ECONOMY,2,2,1,1,ONE_WAY,USD,532,0,8,7615.16,7615.16
NRT,AMS,2026-10-02,,UA,FIRST,2,1,1,0,ONE_WAY,INR,528,16,0,17883.85,214.61
CDG,BAH,2027-08-05,2027-08-15,WN,ECONOMY,1,0,0,1,ROUND_TRIP,USD,266,9,13,1321.52,1321.52
HYD,AMD,2027-01-30,2027-02-20,AF,ECONOMY,1,0,0,1,ROUND_TRIP,USD,258,3,7,1890.5,1890.5
NRT,HYD,2027-05-19,2027-06-09,QR,ECONOMY,1,0,0,2,ROUND_TRIP,AED,269,21,1,1245.32,338.73
BOM,LHR,2027-03-01,2027-03-25,DL,ECONOMY,4,0,0,1,ROUND_TRIP,INR,531,17,1,12222.72,146.67
DFW,DXB,2027-06-24,,MH,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,AUD,125,19,21,546.69,355.35
AMS,KUL,2027-01-12,2027-02-09,LX,ECONOMY,1,0,0,1,ROUND_TRIP,USD,356,7,12,2354.95,2354.95
MAA,AMD,2027-01-18,2027-02-04,WY,ECONOMY,2,0,0,0,ROUND_TRIP,GBP,250,11,15,4099.1,5205.86
KWI,BKK,2027-02-27,,IB,ECONOMY,1,0,0,1,ONE_WAY,USD,729,0,12,460.45,460.45
SFO,DFW,2026-10-24,2026-11-04,PR,ECONOMY,4,0,0,0,ROUND_TRIP,AED,383,9,15,4030.28,1096.24
SIN,AMS,2027-04-05,2027-04-11,KL,ECONOMY,4,1,0,1,ROUND_TRIP,USD,200,4,7,9447.21,9447.21
DEL,SFO,2027-06-14,,BA,BUSINESS,1,0,0,1,ONE_WAY,AED,459,4,11,2348.56,638.81
BAH,MNL,2027-01-27,,BA,ECONOMY,2,0,1,1,ONE_WAY,USD,200,12,15,1987.14,1987.14
MIA,ORD,2027-08-11,,UK,BUSINESS,1,1,0,1,ONE_WAY,AUD,148,6,8,5721.93,3719.25
MAA,SIN,2027-06-16,2027-07-04,TG,ECONOMY,2,1,0,0,ROUND_TRIP,USD,523,18,2,4005.62,4005.62
ICN,HKG,2026-10-08,,MH,ECONOMY,2,1,0,2,ONE_WAY,SGD,468,7,14,2011.82,1488.75
HYD,DPS,2027-05-02,,SQ,PREMIUM_ECONOMY,4,0,0,0,ONE_WAY,INR,314,23,4,8204.11,98.45
SYD,DPS,2026-10-06,,QR,ECONOMY,2,0,0,0,ONE_WAY,INR,273,9,13,2226.44,26.72
AUH,ORD,2026-09-17,2026-09-29,GF,ECONOMY,1,0,0,1,ROUND_TRIP,EUR,494,1,9,1434.11,1548.84
PNQ,BOM,2027-05-27,2027-06-12,BA,PREMIUM_ECONOMY,4,0,0,0,ROUND_TRIP,USD,403,14,20,18012.01,18012.01
KWI,BKK,2027-08-09,2027-09-06,AF,ECONOMY,2,0,0,0,ROUND_TRIP,USD,651,2,12,2361.19,2361.19
AMD,SYD,2027-02-28,,EK,ECONOMY,2,0,1,0,ONE_WAY,USD,468,19,2,2863.04,2863.04
KUL,KWI,2026-11-15,,TG,PREMIUM_ECONOMY,1,0,0,0,ONE_WAY,GBP,584,11,20,1409.86,1790.52
AUH,NRT,2026-11-10,,AF,ECONOMY,1,0,0,1,ONE_WAY,USD,225,17,20,1170.66,1170.66
ZRH,KUL,2027-04-24,,WN,ECONOMY,1,1,1,1,ONE_WAY,USD,437,13,20,1121.44,1121.44
MNL,SFO,2027-05-16,,MH,BUSINESS,1,1,0,0,ONE_WAY,USD,412,9,15,5608.34,5608.34
MNL,MEL,2027-03-27,,AA,ECONOMY,3,0,0,0,ONE_WAY,INR,330,17,22,2198.91,26.39
SIN,AMD,2027-03-26,2027-04-25,GA,BUSINESS,4,0,0,1,ROUND_TRIP,USD,290,3,7,22975.81,22975.81
DPS,LAX,2027-05-13,,MH,PREMIUM_ECONOMY,2,1,0,1,ONE_WAY,GBP,307,8,13,4554.39,5784.08
ICN,DOH,2026-10-22,,BA,FIRST,4,0,1,1,ONE_WAY,EUR,651,13,23,9063.47,9788.55
DXB,AUH,2027-07-01,,QR,ECONOMY,3,0,0,1,ONE_WAY,USD,387,13,19,1224.76,1224.76
BKK,MAA,2027-04-20,2027-05-03,SQ,BUSINESS,2,0,0,1,ROUND_TRIP,EUR,415,18,0,5528.78,5971.08
CCU,CGK,2026-12-29,,SQ,PREMIUM_ECONOMY,2,0,0,0,ONE_WAY,USD,290,10,14,5604.82,5604.82
MAD,LAX,2027-04-06,2027-04-09,UA,ECONOMY,1,0,0,0,ROUND_TRIP,EUR,87,3,4,1851.05,1999.13
DEL,BKK,2027-02-14,2027-02-25,EY,FIRST,1,1,0,0,ROUND_TRIP,AED,237,2,5,6646.49,1807.85
DOH,BLR,2026-09-22,2026-09-29,AF,PREMIUM_ECONOMY,1,0,0,0,ROUND_TRIP,INR,628,18,4,3075.37,36.9
DEL,LAX,2027-01-21,,UK,FIRST,1,0,0,0,ONE_WAY,USD,539,11,19,2791.69,2791.69
FCO,DXB,2027-07-12,2027-07-20,AF,BUSINESS,4,0,0,0,ROUND_TRIP,USD,116,14,15,28681.12,28681.12
AUH,SIN,2027-03-21,2027-04-03,WN,PREMIUM_ECONOMY,1,1,0,0,ROUND_TRIP,USD,310,4,9,4377.86,4377.86
AMS,CCU,2027-01-15,2027-01-24,QR,ECONOMY,2,0,0,1,ROUND_TRIP,GBP,339,16,21,5301.8,6733.29
